,fips,name,planar_measure,network_measure,seg_difference,p_value
37,13980,"Blacksburg-Christiansburg, VA",0.13358710492164788,0.16330339196524296,0.02971628704359508,0.241
38,14010,"Bloomington, IL",0.08451189597123847,0.12151067507582913,0.036998779104590665,0.0726
39,14020,"Bloomington, IN",0.09332859056935378,0.13188086297071358,0.038552272401359805,0.1804
40,14100,"Bloomsburg-Berwick, PA",0.14005923334563652,0.16334659356408254,0.023287360218446018,0.4226
41,14260,"Boise City, ID",0.10971594063560228,0.1397850842320632,0.03006914359646093,0.0426
42,14460,"Boston-Cambridge-Newton, MA-NH",0.22844930305740893,0.25375433205750236,0.025305029000093432,0.0006
43,14500,"Boulder, CO",0.10018182318595055,0.12186656371157796,0.02168474052562741,0.345
44,14540,"Bowling Green, KY",0.16202432696183658,0.20470496804520066,0.042680641083364085,0.1164
45,14740,"Bremerton-Silverdale-Port Orchard, WA",0.0690340446941068,0.09317770455570835,0.024143659861601552,0.0112
46,14860,"Bridgeport-Stamford-Norwalk, CT",0.18082169092737366,0.22323926560174245,0.042417574674368796,0.0006
47,15180,"Brownsville-Harlingen, TX",0.16240065605921455,0.1963776039290701,0.033976947869855556,0.2974
48,15260,"Brunswick, GA",0.2852778823468184,0.2866026193890182,0.0013247370421998195,0.9674
49,15380,"Buffalo-Cheektowaga, NY",0.29081306645477667,0.3243854169326931,0.03357235047791646,0.0412
50,15500,"Burlington, NC",0.17418614604875465,0.19547705494694745,0.021290908898192795,0.3404
51,15540,"Burlington-South Burlington, VT",0.0979758192418686,0.1284987568207948,0.030522937578926213,0.1706
52,15680,"California-Lexington Park, MD",0.14878613359015627,0.14728729478927685,-0.0014988388008794207,0.97
53,15940,"Canton-Massillon, OH",0.1921908514371332,0.22600050901134816,0.033809657574214974,0.1782
54,15980,"Cape Coral-Fort Myers, FL",0.23358830729402663,0.26892755568484056,0.03533924839081393,0.0472
55,16020,"Cape Girardeau, MO-IL",0.20565274802433173,0.242911790299013,0.03725904227468127,0.4158
56,16060,"Carbondale-Marion, IL",0.19471911841939776,0.2201872663988908,0.02546814797949304,0.543
57,16180,"Carson City, NV",0.062314144279705885,0.105529356240932,0.043215211961226116,0.168
58,16220,"Casper, WY",0.05629027637845211,0.07898169645248869,0.02269142007403658,0.3652
59,16300,"Cedar Rapids, IA",0.14141603145851944,0.1865230775759037,0.04510704611738425,0.0452
60,16540,"Chambersburg-Waynesboro, PA",0.20016447064760085,0.22138932937981004,0.021224858732209195,0.5788
61,16580,"Champaign-Urbana, IL",0.11421599524204193,0.14288421762292017,0.02866822238087824,0.2568
62,16620,"Charleston, WV",0.24655916933184666,0.32332112071430097,0.07676195138245431,0.0238
